a3932980-320c-4bf3-8ca6-e401392f4c0d,Kelly,SLO,1234,F,1000.0,0.1,20.0
ca779660-b770-43a2-badb-76b6a6c89ddd,Pradeep,323,2424,M,100.0,0.4,0.0
63f99b5b-1e60-47b8-a11c-defb50f3fdf6,Pradeep,323,2424,M,100.0,0.4,0.0
b8ef780b-324c-4e1c-b7a6-5553f5ea014c,Pradeep,323,2424,M,100.0,0.4,0.0
93ae956f-9b86-4c74-adcb-acaaabe67021,Pradeep,323,2424,M,100.0,0.4,0.0
44606a7b-be6c-4c7f-a0b1-1c894057f88b,Pradeep,323,2424,M,100.0,0.4,0.0
38416a3b-7fc8-4e20-a9a9-26e61d8b1b13,Pradeep,323,2424,M,100.0,0.4,0.0
26239b29-09be-4948-b3fb-fa276b871bef,Pradeep,323,2424,M,100.0,0.4,0.0
3e5eee0b-4c15-478c-90a6-48214bc7a19b,Pradeep,323,2424,M,100.0,0.4,0.0
672e70ca-f457-4e71-98df-fd30ea28457b,Pradeep,323,2424,M,100.0,0.4,0.0
9b322666-d9cd-4d2b-82b1-85fe9c0104b9,Pradeep,323,2424,M,100.0,0.4,0.0
7d42502c-b500-43c2-8094-0057f8e10e0c,Pradeep,323,2424,M,100.0,0.4,0.0
18360b30-76aa-4abc-a584-fcc616c2839d,Pradeep,323,2424,M,100.0,0.4,0.0
670b37f1-1da9-4bda-bab0-59cf8389f279,Pradeep,323,2424,M,100.0,0.4,0.0
7c6961d2-ebad-40dc-a6ef-2718705d2f78,Pradeep,323,2424,M,100.0,0.4,0.0
5b695b62-7886-44ac-870a-bf7760635887,Pradeep,323,2424,M,100.0,0.4,0.0
1763ae14-bc51-4f9d-aa91-b295f3f11c9f,Pradeep,323,2424,M,100.0,0.4,0.0
32384944-0745-401f-91c3-a36dc7f5d309,Pradeep,323,2424,M,100.0,0.4,0.0
451aa31c-7186-4175-8757-36c75f714f18,Pradeep,323,2424,M,100.0,0.4,0.0
330dd412-d508-466e-b367-eabd8e6af2e3,Pradeep,323,2424,M,100.0,0.4,0.0
fb42ed67-7656-400a-958b-69db3014f676,Pradeep,323,2424,M,100.0,0.4,0.0
3d83612b-538d-4c4a-b9f7-a0caf7f82259,Pradeep,323,2424,M,100.0,0.4,0.0
b8cd497f-a249-4c44-b560-a421c330f071,Pradeep,323,2424,M,100.0,0.4,0.0
fa310cb4-93fe-4db3-a694-88f5f758fe9e,Salary,123,1231,M,25000.99,23.0,100.0
